cik_str,label,error
0001045810,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001730168,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000723125,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000002488,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000050863,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000006951,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000097476,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000006281,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001973239,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001835632,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001413447,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001280452,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000827054,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001122411,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000932787,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001097864,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001033767,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001736297,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001709048,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001807794,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001493594,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000928876,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000855658,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001047127,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000917273,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001451809,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000004127,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000088941,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001604778,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000866291,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000772406,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001038074,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000912093,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001039399,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001329394,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001039065,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001111928,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000817720,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000056978,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000029002,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001158114,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000833640,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001280263,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0000810136,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001275014,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001821769,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001288469,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001819974,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001375877,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
0001342338,error,Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
